Company Name,Description,Area,Reasoning,Company Domain,Company Description,Company Year Founded,Company Website,Company Number of Employees,Company Revenue,Company linkedin URL,Total Funding Amount,Total Number of Rounds,Last Round/Event Amount,Last Round/Event Type,Last Round/Event Date,IPO Status,Company Main Industry,Company Sub Industry,Company SIC (Standard Industrial Classification),Company NAIC (North American Industry Classification),Company Specialties,Company Continent,Company Country,Company City,Company Country ISO
Ride Vision,AI hazard detection for motorcyclists,AI applied to traditional industries,AI hazard detection for motorcyclists,ride.vision,Ride Vision develops an Advanced Rider Assistance System (ARAS) for preventing  motorbike accidents by utilizing advanced computer vision & AI algorithms and without disturbing the riders' focus.,,https://ride.vision,11-50,,https://www.linkedin.com/company/ridevision,$9.5M,3.0,,Series A,,False,"Technology, Information & Media",Software Development,7371 Custom computer programming services,541511 Custom Computer Programming Services,"adas, akka, artificial intelligent, automotive, computer vision, edge computing, motorsport, neural networks, powered two wheelers, security, sensor fusion, smart mobility",Asia,Israel,Herzliya,IL
Sight Diagnostics,Portable AI-enabled blood analyzers,New physical capabilities,Portable AI-enabled blood analyzers,,,,,,,,,,,,,,,,,,,,,,
StoreDot,Extreme-fast charging lithium batteries,New physical capabilities,Extreme-fast charging lithium batteries,,,,,,,,,,,,,,,,,,,,,,
TytoCare,Remote physical exam devices,New physical capabilities,Remote physical exam devices,,,,,,,,,,,,,,,,,,,,,,
Watergen,Atmospheric water generators,New physical capabilities,Atmospheric water generators,,,,,,,,,,,,,,,,,,,,,,
Wevo Energy,Smart EV charging management,AI applied to traditional industries,Smart EV charging management,wevo.energy,"Wevo Energy is a global software supplier to CPOs and EV service providers, delivering an industry leading software platform to optimize EV charging. The company’s cloud based platform enables charge point operators and building owners to easily and effectively manage EV charging at apartment complexes, workplaces, commercial properties and destination charging applications. Using cutting edge data science and AI, Wevo learns driver behavior to orchestrate the ideal charging schedule while minimizing costs and taking advantage of grid incentives. 

Wevo's load management technology maximizes existing building infrastructure by intelligently allocating power where and when it's needed most, allowing sites to install more charging stations without expensive infrastructure upgrades. Our smart algorithms learn drivers' behaviors and create an optimal charging schedule - charging when rates are lowest and ensuring that the vehicle is fully charged by the time it's needed.",2021.0,https://wevo.energy,11-50,,https://www.linkedin.com/company/wevo-energy,,1.0,,Seed Round,,False,"Technology, Information & Media",Software Development,7371 Custom computer programming services,541511 Custom Computer Programming Services,,Asia,Israel,Ein Vered,IL
WINT Water Intelligence,AI leak detection and prevention,AI applied to traditional industries,AI leak detection and prevention,,,,,,,,,,,,,,,,,,,,,,
Agrematch,AI discovery of crop protection molecules,AI applied to traditional industries,AI discovery of crop protection molecules,,,,,,,,,,,,,,,,,,,,,,
BigBI,AI analytics for SMB decision-making,AI reducing information asymmetry,AI analytics for SMB decision-making,bigbi.io,"BigBI studio is a no-code Spark big data analytics solution built for BI/AI Analysts. We provide the full power of Apache Spark (an open-source unified analytics engine for large-scale data processing).
 
Our solution provides all the power and features of Apache Spark, without the need to write code. BI/AI analysts Could build big data pipelines themselves, in hours instead of weeks or months- visually & interactively.",2018.0,https://bigbi.io,1-10,,https://www.linkedin.com/company/bigbi-software,,,,,,,"Technology, Information & Media",Software Development,,,"artificial intelligent, big data, hadoop, machine learning, mlops, no-code development, spark, streaming",Asia,Israel,Tel Aviv,IL
Culception,AI for property due-diligence,AI reducing information asymmetry,AI for property due-diligence,culception.com,"Culception is a precision Ag-Tech company that takes the guesswork out of farming. Our real-time insights platform enables farmers to operate at lower risk and lower costs, and create higher yields.",2019.0,https://culception.com,11-50,$50M - $100M,https://www.linkedin.com/company/culception,,,,,,,"Technology, Information & Media",Software Development,7371 Custom computer programming services,541511 Custom Computer Programming Services,,Asia,Israel,Tel Aviv,IL
Fieldin,Operations dashboard for orchards/farms,AI applied to traditional industries,Operations dashboard for orchards/farms,,,,,,,,,,,,,,,,,,,,,,
Hydrolight,Wave energy harvesters for clean power,AI applied to traditional industries,Wave energy harvesters for clean power,,,,,,,,,,,,,,,,,,,,,,
Identick,AI-driven packaging authentication,AI reducing information asymmetry,AI-driven packaging authentication,identick.com,"Identick redefines the B2B online experience by personalizing website content in real-time to
help drive conversion rates. Using a proprietary technology, we conduct a deep
analysis of our customers' website traffic to reveal the companies who visited their site and
display segment-specific content, based on the visitor's organizational profile.

Microsoft for Startups alumni (Viable Program).
Y-Combinator Startup School 2018 network.",2018.0,https://identick.com,1-10,,https://www.linkedin.com/company/identick,,,,,,,"Technology, Information & Media",Software Development,,,,Asia,Israel,Tel Aviv,IL
Imagry,Vision-based autonomous driving stack,AI applied to traditional industries,Vision-based autonomous driving stack,,,,,,,,,,,,,,,,,,,,,,
Medframe,AI medical data management,AI reducing information asymmetry,AI medical data management,medframe.io,"Medframe was developed to help companies build trusted medical AI. We provide customers with tools for creating high-quality training datasets, controlling labeling errors, and managing the entire data preparation lifecycle.",2020.0,https://medframe.io,11-50,,https://www.linkedin.com/company/med-frame,$90k,2.0,25000.0,Non Equity Assistance,2020-08-12,False,"Technology, Information & Media",Software Development,7371 Custom computer programming services,541511 Custom Computer Programming Services,,Asia,Israel,Tel Aviv,IL
NeuraLight,Digital biomarkers for neurological diseases,AI reducing information asymmetry,Digital biomarkers for neurological diseases,neuralight.ai,"NeuraLight is developing a software-based platform for eye movement analysis, providing an objective and sensitive tool in neurodegenerative diseases.
Our platform is successfully used in several CNS clinical trials, presenting the ability of using eye movement analysis to differentiate patients from healthy subjects, stratify different subgroups, and monitor disease progression.",2021.0,https://neuralight.ai,11-50,$10M - $50M,https://www.linkedin.com/company/neuralight,$30.5M,2.0,25000000.0,Series A,,False,"Technology, Information & Media",Software Development,7371 Custom computer programming services,541511 Custom Computer Programming Services,,Asia,Israel,Tel Aviv,IL
Noma Security,"Protects enterprise AI models ([Startup Fund - English Innovation Site](https://innovationisrael.org.il/en/programs/startup-fund/#:~:text=,R%26D%20teams%20in%20Tel%20Aviv))",AI reducing information asymmetry,"Protects enterprise AI models ([Startup Fund - English Innovation Site](https://innovationisrael.org.il/en/programs/startup-fund/#:~:text=,R%26D%20teams%20in%20Tel%20Aviv))",,,,,,,,,,,,,,,,,,,,,,
OpenApp Israel,Smart lock and building-access systems,AI applied to traditional industries,Smart lock and building-access systems,openapp.co.il,"OpenApp deals within these domains: 

► Open Source LMS - ­ We are specialist in integration and development in open source LMS systems. OpenApp is the leading company in Israel that supports the Academy LMS system implementation, and develop, integrate and support LMS in companies such as Delta, Ceragon, Bezeq, El ­Al, Colmobil, Tidhar and more. 

► Hospital Multimedia Systems, this system is a smart integration of Open­Source tools and code that the company developed. The system lets every hospital visitor get TV channels, VOD, Internet and games near his bed. Some of the services are not free and can simply be ordered through the credit­card. The whole system ­ including connections to credit­card companies and billing ­ is maintained by OpenApp LTD. To “feel” the system you can watch the attached movie here. (http://openapp.co.il/tp/) 

► Custom made Web Applications for special applications that have special requirements that aren’t found on CMSes. For these cases we use PHP Frameworks. These technologies allow us to use standards in coding and databases and make the code easier to read/change and maintain. These applications includes BI on data that is collected from multiple sources, automation of reports emails and more.",2008.0,https://openapp.co.il,11-50,$10M - $50M,https://www.linkedin.com/company/atar-plpl,,,,,,,"Technology, Information & Media",Software Development,,,"drupal, joomla, moodle",Asia,Israel,Jerusalem,IL
Parspec,AI-powered construction procurement,AI applied to traditional industries,AI-powered construction procurement,,,,,,,,,,,,,,,,,,,,,,
Prospera,Vision & AI for greenhouse crops,AI applied to traditional industries,Vision & AI for greenhouse crops,,,,,,,,,,,,,,,,,,,,,,
Scalera.ai,AI agents automating construction workflows,AI applied to traditional industries,AI agents automating construction workflows,,,,,,,,,,,,,,,,,,,,,,
Spine,AI-based solutions for spinal injury rehab,AI reducing information asymmetry,AI-based solutions for spinal injury rehab,spine.co.il,"Spine delivers a SaaS platform that enable service providers to offer applications that will increase their average revenue per customer and attract new customers. Spine provides hosting providers with a platform so they can offer a variety of rich end user applications (such as inventory management, HR portals, logistics, business admin, collaboration) in addition to existing infrastructure services (shared web hosting, email hosting, database hosting, VPS, VDS, VDI etc.)",2005.0,https://spine.co.il,1-10,,https://www.linkedin.com/company/spine,,,,,,,"Technology, Information & Media",Software Development,7371 Custom computer programming services,541511 Custom Computer Programming Services,software services,Asia,Israel,,IL
Tipa,Compostable packaging materials,AI applied to traditional industries,Compostable packaging materials,,,,,,,,,,,,,,,,,,,,,,
Kardome,Voice separation technology for noisy environments,AI reducing information asymmetry,Voice separation technology for noisy environments,kardome.com,"Kardome’s patented Spatial Hearing technology simultaneously enhances speech signals from multiple speakers in real time, isolating the target speech with unsurpassed accuracy and enabling users to achieve high-quality results.

Kardome knows who is talking, where they're located, and what they're saying.

Kardome was established in 2019 by a team of enthusiastic and passionate researchers with vast experience in algorithms and acoustics. We are motivated and dedicated to making voice-controlled devices usable in all environments.

Visit our Website  Kardome.com to learn more or contact us at Info@kardome.com",2019.0,https://kardome.com,1-10,$10M - $50M,https://www.linkedin.com/company/kardome,$13.3M,6.0,10000000.0,Series A,2023-03-01,False,"Technology, Information & Media",Software Development,7371 Custom computer programming services,541511 Custom Computer Programming Services,"speech recognition, voice, voice recognition, voice technology",Asia,Israel,Tel Aviv,IL
SWAPP.AI,AI for automating architectural planning,AI applied to traditional industries,AI for automating architectural planning,swapp.fashion,"SWAPP’s platform automates the most cumbersome and error-prone architectural planning phase: the production of construction documents (CD).

SWAPP clients benefit from completing multiple projects simultaneously at a high speed and focusing more on creative planning and less on tedious repetitive manual labor.

By combining algorithms, human expertise and end-to-end customer support, firms using SWAPP are reaching unprecedented goals and significantly increase both their gross margin and productivity.

Learn more about us on our website >> www.swapp.ai",2019.0,https://swapp.fashion,11-50,$1M - $10M,https://www.linkedin.com/company/buildos,$18.5M,4.0,11500000.0,Series A,,False,"Technology, Information & Media",Software Development,7371 Custom computer programming services,541511 Custom Computer Programming Services,"architecture, architecture and planning, archviz, artificial intelligent, automation, build outs, building information modeling, building permits, commercial heating ventilation and air conditioning, computational design, construction, construction documents, contech, coworking, cre, design development, education, fit out, mep planning, multifamily, office, prop tech, property technology, real estate, residential development, schematic design, test fits, workspace",Asia,Israel,Tel Aviv,IL
Argmax,AI optimization models (consultancy),AI reducing information asymmetry,AI optimization models (consultancy),argmax.ml,"🚀 Focused on being your extended Data Science team, Argmax is your full service consultancy to develop custom ML/AI solutions across advertising, marketing and financial sectors. 

Our sweet spot is building recommendation systems to enhance any system that needs to match the right ads or products to consumers. With the enhancements of AI, we've expanded our services to specialize in AI matching solutions leveraging LLMs, Vector Search, and Image Processing. 

Our multidisciplinary team, consisting of top-tier data scientists can build custom applications with on-the-ground technical assistance or act as your strategic ML/AI thought partners, as an extension of your team. 

We believe AI will revolutionize every industry. Staying ahead with cutting-edge advancements to create top-tier solutions is our mission.",2020.0,https://argmax.ml,1-10,$50M - $100M,https://www.linkedin.com/company/argmax,,,,,,,"Technology, Information & Media",Software Development,7371 Custom computer programming services,541511 Custom Computer Programming Services,"artificial intelligence matching, artificial intelligent, churn prediction, computer vision, data science, dynamic pricing, large language models, lead scoring, machine learning, natural language processing, personalized search, professional services, programmatic advertising, real time bidding, recommender systems, text classification, time series analysis, vector search",Asia,Israel,Ramat Gan,IL
FleetCopter,Long-range heavy-lift industrial drones,New physical capabilities,Long-range heavy-lift industrial drones,fleetcopter.com,"Capturing the action, anytime, anywhere!",2020.0,https://fleetcopter.com,1-10,,https://www.linkedin.com/company/fleetcopter,$250k,1.0,250000.0,Pre Seed Round,,False,"Technology, Information & Media",Software Development,,,,Asia,Israel,Petaẖ Tiqva,IL
Picafuel,Cloud-based fuel management analytics,AI applied to traditional industries,Cloud-based fuel management analytics,picafuel.com,"Picafuel is a SaaS fleet payment platform revolutionizing operations in the fuel retail industry. Our comprehensive platform offers fleet card management, mobile payments, customer engagement, and loyalty solutions. Picafuel helps retailers cut costs, improve margins, and prevent fuel fraud effectively.

Beyond card management, our platform drives innovation, allowing retailers to customize pricing, introduce new products, and enhance operations. With Picafuel's e-mobility capabilities, fuel retailers gain the tools to grow their business and stay ahead in an evolving market.",2017.0,https://picafuel.com,11-50,$1 - $1M,https://www.linkedin.com/company/picafuel,,,,,,,"Technology, Information & Media",Software Development,7371 Custom computer programming services,541511 Custom Computer Programming Services,"computer vision, deep learning, fleet card management, fleet payments, fuel retail, fuel retail solutions, loyalty programs, targeted marketing",Asia,Israel,Tel Aviv,IL
Sainnovation,Autonomous/AI-enabled systems (unspecified),New physical capabilities,Autonomous/AI-enabled systems (unspecified),sainnovation.com,"SAInnovation is a world-class cutting-edge development firm with expertise in leveraging technology to solve business challenges and create new opportunities.

Our core strengths:
- Agile methodology of 3 months development cycles
- Ad hock tailored team of top Israeli talent assembled per project
- From design to execution, we excel at fast, high-quality DELIVERY

We partner up with companies, adjusting technology to solve business challenges and create new opportunities: Learning the Partner company's existing processes, needs, and challenges, collaboratively designing a simple digital product to solve them, and Dissecting and executing the development plan in our 3 months microproject methodology.

As our process focuses on the highest level of delivery, to each micro project, based on Its complexity, SAInnovation assembles a team of top Israeli talents, each expert in their own field.",2022.0,https://sainnovation.com,1-10,,https://www.linkedin.com/company/sainnovation,,,,,,,"Technology, Information & Media",Software Development,7371 Custom computer programming services,541511 Custom Computer Programming Services,"big data, business intelligence, cloud, cyber security, software development",Asia,Israel,Yavné,IL
CorrActions,AI detecting driver cognitive distractions,AI reducing information asymmetry,AI detecting driver cognitive distractions,corractions.com,"The first Driver NeuroMonitoring System: multi-symptom brain activity monitor, software-only, highly accurate, privacy centric, market validated.",,https://corractions.com,11-50,,https://www.linkedin.com/company/corractions,$9.9M,3.0,7250000.0,Series A,,False,"Technology, Information & Media",Software Development,7371 Custom computer programming services,541511 Custom Computer Programming Services,,Asia,Israel,Tel Aviv,IL
Sightec,Real-time vision analytics for airborne vehicles,AI reducing information asymmetry,Real-time vision analytics for airborne vehicles,sightec.com,"Sightec is dedicated to solving the myriad technical problems posed by computer vision & AI as it relates to autonomous flights.
The Company's solutions combine sophisticated proprietary algorithms with deep learning technology that put very powerful and complex vision systems into a cost-effective, lightweight package that requires minimal processing power and energy to run.
Sightec Offering's benefits include: 
Safe Mobility:
* Vision-based Orientation & Navigation (GPS-free) 
* Safe & Accurate Landing
Real-time Inspection:
* Autonomous Detection & Tracking of ground and aerial objects Real-time
* Monitoring & Inspection of critical infrastructure",2010.0,https://sightec.com,11-50,$10M - $50M,https://www.linkedin.com/company/sightec,$6.8M,6.0,2000000.0,Seed Round,2021-10-06,False,"Technology, Information & Media",Software Development,7371 Custom computer programming services,541511 Custom Computer Programming Services,"artificial intelligent, computer vision, deep learning, drones, image processing, unmanned systems",Asia,Israel,Ramat Gan,IL
SafeRide Technologies,Predictive analytics for vehicle fleets,AI reducing information asymmetry,Predictive analytics for vehicle fleets,,,,,,,,,,,,,,,,,,,,,,
CLEW,Predictive-care platform for hospitals/ICUs,AI reducing information asymmetry,Predictive-care platform for hospitals/ICUs,clewmed.com,"CLEW provides an intelligent clinical surveillance platform powered by FDA-cleared, Class II AI predictions that enables decision support for complex clinical scenarios and anticipates patient deterioration with remarkable accuracy so that care teams can deploy the necessary countermeasures and optimize care. CLEW integrates and combines key clinical data from the EHR, bedside monitors, and any connected medical device associated with the patient to provide a consolidated clinical view and is virtually rounded upon by the platform in near real-time. This allows for better allocation of essential clinical resources across the system by giving caregivers the necessary information to act based on what is physically happening with a patient, rather than just relying on rounding schedules, and expected patient care pathways. This not only leads to better patient outcomes but also illustrates its effectiveness by improving patient throughput and reducing LOS.  Overall, CLEW's unique real-time intelligence improves access to care and capacity in all key areas of a hospital, including the ICUs, ED, PACU and monitored med-surg units, by getting patients the right resources and identifying the right level of care, faster.

This allows for the optimization of essential clinical resources across the system by giving caregivers the information to act based on what is physically happening with a patient, rather than just relying on rounding schedules and expected patient care pathways. 

It also improves access to care and capacity in key areas, including the ICUs, ED, PACU and monitored med-surg units, by getting patients the right resources and identifying the right level of care, faster.",2014.0,https://clewmed.com,11-50,,https://www.linkedin.com/company/clewmed,$20.5M,3.0,10000000.0,Series B,,False,"Technology, Information & Media",Software Development,7371 Custom computer programming services,541511 Custom Computer Programming Services,"big data, capacity management, critical care, machine learning, predictive analytics, telehealth, telemedicine",Asia,Israel,Netanya,IL
